Bidding_Item,Reference_Number,Bid_Winning_Price,Bidding_Item_Title,Bid_Item_Identification_Number,Condition,Transmission_Type,Mileage,Fuel_Type
Vehicle,NCS/PTML/OVT/01/24/1,892000.0,TOYOTA CAMRY HYBRID LE 4DR SEDAN 2006,4T1BE32K86U111063,Used_Vehicle,Automatic_Vehicle,Kilometers,Petrol_Vehicle
Vehicle,NCS/PTML/OVT/01/24/2,500000.0,ACURA TL 2004,19UUA66214A013030,Used_Vehicle,Automatic_Vehicle,Kilometers,Petrol_Vehicle
Vehicle,NCS/PTML/OVT/01/24/3,420000.0,HONDA ACCORD EX 1.5T 4DR SEDAN 2004,1HGCM66554A098192,Used_Vehicle,Automatic_Vehicle,Kilometers,Petrol_Vehicle
Vehicle,NCS/PTML/OVT/01/24/4,800000.0,TOYOTA COROLLA L 4DR SEDAN 2007,2T1BR32E27C777272,Used_Vehicle,Automatic_Vehicle,Kilometers,Petrol_Vehicle
Vehicle,NCS/PTML/OVT/01/24/5,715000.0,PEUGEOT 307 2008,VF33CNFUL84568049,Used_Vehicle,Automatic_Vehicle,Kilometers,Petrol_Vehicle
Vehicle,NCS/PTML/OVT/01/24/6,410000.0,VOLKSWAGEN POLO 70 TSI TRENDLINE 2001,WVWZZZ6NZ1Y237873,Used_Vehicle,Automatic_Vehicle,Kilometers,Petrol_Vehicle
Vehicle,NCS/PTML/OVT/01/24/7,467000.0,BMW 330I 4DR REAR-WHEEL DRIVE SEDAN 2011,WBAKF9C59BE262301,Used_Vehicle,Automatic_Vehicle,Kilometers,Petrol_Vehicle
Vehicle,NCS/PTML/OVT/01/24/8,531001.0,MAZDA PREMACY 2003,JMZCP19F231338331,Used_Vehicle,Manual_Vehicle,Kilometers,Petrol_Vehicle
Vehicle,NCS/PTML/OVT/01/24/11,2100000.0,HONDA ACCORD EX 4DR SEDAN 2014,1HGCR3F82EA037331,Used_Vehicle,Automatic_Vehicle,Kilometers,Petrol_Vehicle
Vehicle,NCS/PTML/OVT/01/24/12,651000.0,HONDA ACCORD EX 1.5T 4DR SEDAN 2006,1HGCM56856A178616,Used_Vehicle,Automatic_Vehicle,Kilometers,Petrol_Vehicle
Vehicle,NCS/PTML/OVT/01/24/13,400900.0,HONDA CIVIC EX 4DR SEDAN 2004,1HGEM219X4L011483,Used_Vehicle,Automatic_Vehicle,Kilometers,Petrol_Vehicle
Vehicle,NCS/PTML/OVT/01/24/14,2750000.0,LEXUS GS 300 BASE 4DR REAR-WHEEL DRIVE SEDAN 2006,JTHCH96S360012332,Used_Vehicle,Automatic_Vehicle,Kilometers,Petrol_Vehicle
Vehicle,NCS/PTML/OVT/01/24/15,610000.0,BMW 325XI 2006,WBAVD13556KV06571,Used_Vehicle,Automatic_Vehicle,Kilometers,Petrol_Vehicle
Vehicle,NCS/PH I/OVT/01/24/17,405500.0,VOLVO S80 2010,YV1960AS9A1116244,Used_Vehicle,Automatic_Vehicle,Kilometers,Petrol_Vehicle
Vehicle,NCS/PTML/OVT/01/24/18,550000.0,MERCEDES-BENZ C240 2005,WDBRF81J95F631019,Used_Vehicle,Automatic_Vehicle,Kilometers,Diesel_Vehicle
Vehicle,NCS/PTML/OVT/01/24/21,500000.0,PEUGEOT 406 2001,VF38BRFNA18007629,Used_Vehicle,Automatic_Vehicle,Kilometers,Petrol_Vehicle
Vehicle,NCS/PTML/OVT/01/24/19,600000.0,HONDA ACCORD EX 1.5T 4DR SEDAN 2007,1HGCM665X7A090545,Used_Vehicle,Automatic_Vehicle,Kilometers,Petrol_Vehicle
Vehicle,NCS/PTML/OVT/01/24/20,455000.0,TOYOTA CAMRY L 4DR FRONT-WHEEL DRIVE SEDAN 2002,JTDBE32K420028817,Used_Vehicle,Automatic_Vehicle,Kilometers,Petrol_Vehicle
Vehicle,NCS/PTML/OVT/01/24/22,1800000.0,TOYOTA YARIS SEDAN L 4DR SEDAN 2007,JTDJT923175085645,Used_Vehicle,Automatic_Vehicle,Kilometers,Diesel_Vehicle
Vehicle,NCS/PTML/OVT/01/24/24,540000.0,MERCEDES-BENZ C180 2006,WDB2030351F066544,Used_Vehicle,Automatic_Vehicle,Kilometers,Petrol_Vehicle
Vehicle,NCS/PTML/OVT/01/24/25,425000.0,MERCEDES-BENZ C180 2002,WDB2032461F351760,Used_Vehicle,Automatic_Vehicle,Kilometers,Diesel_Vehicle
Vehicle,NCS/PTML/OVT/01/24/26,401000.0,NISSAN 37OZ BASE 2DR COUPE 2009,3N1AB61E59L668598,Used_Vehicle,Automatic_Vehicle,Kilometers,Petrol_Vehicle
Vehicle,NCS/PTML/OVT/01/24/27,870000.0,TOYOTA CAMRY L 4DR FRONT-WHEEL DRIVE SEDAN 2004,4T1BE32K24U886231,Used_Vehicle,Automatic_Vehicle,Kilometers,Petrol_Vehicle
Vehicle,NCS/PTML/OVT/01/24/28,750000.0,HONDA ACCORD EX-L 1.5T 4DR SEDAN 2010,1HGCP2F79AA137475,Used_Vehicle,Automatic_Vehicle,Kilometers,Petrol_Vehicle
Vehicle,NCS/PTML/OVT/01/24/29,550000.0,DODGE CARAVAN 2010,2D4RN5DX9AR124758,Used_Vehicle,Automatic_Vehicle,Kilometers,Petrol_Vehicle
Vehicle,NCS///01/24/30,421678.0,DODGE CALIBER 2007,1B3HE78K77D338275,Used_Vehicle,Automatic_Vehicle,Kilometers,Petrol_Vehicle
Vehicle,NCS/PTML/OVT/01/24/31,590000.0,OPEL ZAFIRA 2000,W0L0TGF75Y2210603,Used_Vehicle,Manual_Vehicle,Kilometers,Petrol_Vehicle
Vehicle,NCS/PTML/OVT/01/24/32,410000.0,VOLVO V40 2005,KMHPM81CP5U215763,Used_Vehicle,Automatic_Vehicle,Kilometers,Petrol_Vehicle
