,URL,Reference Number,Price,Car Title,Condition,VIN,Transmission,Mileage,Fuel Type
0,previous_vehicle_details.php?refNo=1&itemType=Vehicle,NCS/PTML/OVT/01/24/1,"₦892,000.00",TOYOTA CAMRY HYBRID LE 4DR SEDAN 2006,4T1BE32K86U111063,Used,Automatic,0.00KM,Petrol
1,previous_vehicle_details.php?refNo=2&itemType=Vehicle,NCS/PTML/OVT/01/24/2,"₦500,000.00",ACURA TL 2004,19UUA66214A013030,Used,Automatic,0.00KM,Petrol
2,previous_vehicle_details.php?refNo=3&itemType=Vehicle,NCS/PTML/OVT/01/24/3,"₦420,000.00",HONDA ACCORD EX 1.5T 4DR SEDAN 2004,1HGCM66554A098192,Used,Automatic,0.00KM,Petrol
3,previous_vehicle_details.php?refNo=4&itemType=Vehicle,NCS/PTML/OVT/01/24/4,"₦800,000.00",TOYOTA COROLLA L 4DR SEDAN 2007,2T1BR32E27C777272,Used,Automatic,0.00KM,Petrol
4,previous_vehicle_details.php?refNo=5&itemType=Vehicle,NCS/PTML/OVT/01/24/5,"₦715,000.00",PEUGEOT 307 2008,VF33CNFUL84568049,Used,Automatic,0.00KM,Petrol
5,previous_vehicle_details.php?refNo=6&itemType=Vehicle,NCS/PTML/OVT/01/24/6,"₦410,000.00",VOLKSWAGEN POLO 70 TSI TRENDLINE 2001,WVWZZZ6NZ1Y237873,Used,Automatic,0.00KM,Petrol
6,previous_vehicle_details.php?refNo=7&itemType=Vehicle,NCS/PTML/OVT/01/24/7,"₦467,000.00",BMW 330I 4DR REAR-WHEEL DRIVE SEDAN 2011,WBAKF9C59BE262301,Used,Automatic,0.00KM,Petrol
7,previous_vehicle_details.php?refNo=8&itemType=Vehicle,NCS/PTML/OVT/01/24/8,"₦531,001.00",MAZDA PREMACY 2003,JMZCP19F231338331,Used,Manual,0.00KM,Petrol
8,previous_vehicle_details.php?refNo=11&itemType=Vehicle,NCS/PTML/OVT/01/24/11,"₦2,100,000.00",HONDA ACCORD EX 4DR SEDAN 2014,1HGCR3F82EA037331,Used,Automatic,0.00KM,Petrol
9,previous_vehicle_details.php?refNo=12&itemType=Vehicle,NCS/PTML/OVT/01/24/12,"₦651,000.00",HONDA ACCORD EX 1.5T 4DR SEDAN 2006,1HGCM56856A178616,Used,Automatic,0.00KM,Petrol
10,previous_vehicle_details.php?refNo=13&itemType=Vehicle,NCS/PTML/OVT/01/24/13,"₦400,900.00",HONDA CIVIC EX 4DR SEDAN 2004,1HGEM219X4L011483,Used,Automatic,0.00KM,Petrol
11,previous_vehicle_details.php?refNo=14&itemType=Vehicle,NCS/PTML/OVT/01/24/14,"₦2,750,000.00",LEXUS GS 300 BASE 4DR REAR-WHEEL DRIVE SEDAN 2006,JTHCH96S360012332,Used,Automatic,0.00KM,Petrol
12,previous_vehicle_details.php?refNo=15&itemType=Vehicle,NCS/PTML/OVT/01/24/15,"₦610,000.00",BMW 325XI 2006,WBAVD13556KV06571,Used,Automatic,0.00KM,Petrol
13,previous_vehicle_details.php?refNo=17&itemType=Vehicle,NCS/PH I/OVT/01/24/17,"₦405,500.00",VOLVO S80 2010,YV1960AS9A1116244,Used,Automatic,0.00KM,Petrol
14,previous_vehicle_details.php?refNo=18&itemType=Vehicle,NCS/PTML/OVT/01/24/18,"₦550,000.00",MERCEDES-BENZ C240 2005,WDBRF81J95F631019,Used,Automatic,0.00KM,
15,previous_vehicle_details.php?refNo=21&itemType=Vehicle,NCS/PTML/OVT/01/24/21,"₦500,000.00",PEUGEOT 406 2001,VF38BRFNA18007629,Used,Automatic,0.00KM,Petrol
16,previous_vehicle_details.php?refNo=19&itemType=Vehicle,NCS/PTML/OVT/01/24/19,"₦600,000.00",HONDA ACCORD EX 1.5T 4DR SEDAN 2007,1HGCM665X7A090545,Used,Automatic,0.00KM,Petrol
17,previous_vehicle_details.php?refNo=20&itemType=Vehicle,NCS/PTML/OVT/01/24/20,"₦455,000.00",TOYOTA CAMRY L 4DR FRONT-WHEEL DRIVE SEDAN 2002,JTDBE32K420028817,Used,Automatic,0.00KM,Petrol
